Scheme Name	Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	107.2867
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	118.4496
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	106.1228
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	150.7652
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	114.2707
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	104.0945
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	114.0479
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	105.2136
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	367.0476
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	550.9877
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	380.8053
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2713.6786
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1041.7085
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1039.2098
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2632.4450
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1041.5002
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1039.1993
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	11.0158
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.5157
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.4199
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.4199
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.5157
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9461
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.2895
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4768
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.5146
BANDHAN Banking & PSU Debt Fund - Direct Growth	25.2839
BANDHAN Banking & PSU Debt Fund - Direct IDCW	13.3001
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4967
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	11.1260
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.3206
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8788
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6697
BANDHAN Banking & PSU Debt Fund - Regular Growth	24.5761
BANDHAN Banking & PSU Debt Fund - Regular IDCW	13.2710
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.7406
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	11.0225
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.5836
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	12.9385
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.6887
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.6631
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.4232
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.4709
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.1554
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.9888
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.0566
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.9056
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.0201
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.5514
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1761
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.4599
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly 	10.5577
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.2064
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.1696
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.5451
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1761
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.4477
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly 	10.5487
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.2061
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.577
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	19.1889
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.6023
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	11.0193
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.6073
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24.6918
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18.3543
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.1354
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.2642
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1998
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.4013
Franklin India Banking & PSU Debt Fund - Growth	22.4088
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.5799
Franklin India Banking and PSU Debt Fund - IDCW 	10.9543
HDFC Banking and PSU Debt Fund - Growth Option	23.0262
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	23.9647
HDFC Banking and PSU Debt Fund - IDCW Option	10.2812
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0411
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	25.5158
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.4382
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.4068
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.2342
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.717
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3788
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.0727
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0567
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.7000
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0597
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1046.3847
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2430.329
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1061.5767
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1018.7309
Invesco India Banking and PSU Fund - Growth Option	2271.0229
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1063.0157
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.3274
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.3284
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	12.9955
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	12.9966
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	65.4586
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.2981
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.1747
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.3101
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3147
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.559
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.1452
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.104
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2644
LIC MF Banking & PSU Fund-Regular Plan-Growth	34.8457
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.0414
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.4
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.2756
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.2711
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	12.9917
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	12.9927
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21.5694
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21.5692
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	20.7938
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	21.5692
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.7428
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	11.1743
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.5020
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	20.7938
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.6758
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	11.1089
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.5030
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1459.5219
SBI BANKING & PSU FUND - Direct Plan - Growth	3313.5359
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1313.1602
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1456.2812
SBI BANKING & PSU FUND - Regular Paln - Growth	3119.5159
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1423.2097
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1232.7136
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1422.8673
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8321
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	43.6407
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7226
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7020
